date,co2,proxy
1958-03-29,316.1,189.669429766582
1958-04-05,317.3,189.65952190183515
1958-04-12,317.6,190.4275536006184
1958-04-19,317.5,190.61542110940488
1958-04-26,316.4,190.5152459064178
1958-05-03,316.9,189.882365535536
1958-05-10,317.2,190.28016553892076
1958-05-17,317.5,190.53119661115545
1958-05-24,317.9,190.65841646846994
1958-05-31,317.54999999999995,190.80350985814147
1958-06-07,317.2,190.54676427345115
1958-06-14,316.85,190.33986372190222
1958-06-21,316.5,189.95548641380432
1958-06-28,316.15,189.72907703900938
1958-07-05,315.8,189.42563371796535
1958-07-12,315.8,189.16071366636262
1958-07-19,315.4,189.11989424264831
1958-07-26,315.5,188.85617173092064
1958-08-02,315.6,188.94704402114868
1958-08-09,315.1,189.08523252385692
1958-08-16,315.0,188.7755924241361
1958-08-23,314.55,188.81807718442732
1958-08-30,314.1,188.49818758391584
1958-09-06,313.5,188.25455083917282
1958-09-13,313.44444444444446,187.9623111027967
1958-09-20,313.3888888888889,187.93602869179543
1958-09-27,313.3333333333333,187.84693291476057
1958-10-04,313.27777777777777,187.74447017820782
1958-10-11,313.22222222222223,187.67680740794947
1958-10-18,313.1666666666667,187.6599887088764
1958-10-25,313.1111111111111,187.55093401177766
1958-11-01,313.05555555555554,187.5019125103289
1958-11-08,313.0,187.456637301252
1958-11-15,313.2,187.4638673867701
1958-11-22,313.5,187.5999668209581
1958-11-29,314.0,187.8066197741361
1958-12-06,314.5,188.0575826284297
1958-12-13,314.4,188.34786160590275
1958-12-20,314.7,188.34665976615733
1958-12-27,315.2,188.6386671020489
1959-01-03,315.2,188.8442371871411
1959-01-10,315.5,188.95778147024652
1959-01-17,315.6,189.2387221270302
1959-01-24,315.8,189.35732048208274
1959-01-31,315.4,189.49715465435742
1959-02-07,316.15,189.2336104432672
1959-02-14,316.9,189.79296199453245
1959-02-21,316.6,190.3899813682662
1959-02-28,316.6,190.3451039835062
1959-03-07,316.8,190.44373676586127
1959-03-14,316.75,190.5905402966607
